sample_SRR6798308	sample_SRR6798310	sample_SRR6798312	sample_SRR6798314	sample_SRR6798316	sample_SRR6798318
ENSBTAG00000000423	50.64599	43.78024	44.25434	42.84577	50.81295	52.31322
ENSBTAG00000000425	2.90992	1.43457	2.9776	2.49568	1.25356	4.92931
ENSBTAG00000000426	0	0	0	0	0	0
ENSBTAG00000000428	6.5026	6.14917	6.58296	7.50391	6.95145	6.61289
ENSBTAG00000000429	58.4888	53.7689	68.3172000006335	96.1796	76.839	49.7878
ENSBTAG00000000432	4.07296000199035	2.394667	2.88420044	3.01801	2.00008121	4.2292547
ENSBTAG00000000434	1901.50406	2039.25	1669.2135	1848.1179	2028.0914	1596.07933
ENSBTAG00000000435	15.8534	16.5713	17.4593	17.273	18.2841	17.0622
ENSBTAG00000000436	0.9706145	1.0000315	1.22943	0.9197868	0.791261	1.23282
ENSBTAG00000000437	0.322957	0.14288	0.0932494	0.177351	0.494477	0.755949
ENSBTAG00000000438	0	0	0	0	0	0
ENSBTAG00000000439	18.042619	11.893151	17.997519	16.862117	16.863855	15.914337
ENSBTAG00000000440	10.2398	18.795	16.443	18.3128	14.9542	11.3432
ENSBTAG00000000442	58.19457	61.52565	40.190509	207.12346	68.64606	172.41863
ENSBTAG00000000445	0.653295	1.51562	0.287913	12.1488	0.439042	22.6776
ENSBTAG00000000446	11.2903959	12.175281	16.240398	23.488533	14.891346	11.515521
ENSBTAG00000000447	35.229	19.8424	24.263409	17.581216	23.923	22.4676
ENSBTAG00000000448	3.73446	3.93811	3.34394	4.647716	3.68189	4.9371
ENSBTAG00000000451	81.3626	93.2849	75.3866	60.6392	76.9808	59.797
ENSBTAG00000000454	28.785223	29.872649	19.310329	19.027196	26.026254	28.705937
ENSBTAG00000000455	21.4538	13.4114	22.969	20.8669	19.2821	20.9022
ENSBTAG00000000456	0	0.101326	0.0330685	0	0.0328775	0
ENSBTAG00000000457	0.786903	0.542646	0.500277	0.514977	0.497299	3.33524
ENSBTAG00000000458	36.8444	38.6086	44.52	37.9173	42.7701	32.3581
ENSBTAG00000000459	16.2395	18.8841	17.1136	18.5072	18.1575	14.8117
ENSBTAG00000000460	32.97825	27.28822	36.63775	26.91388	33.37134	29.87898
ENSBTAG00000000462	1.70093	1.66597	2.03339	2.646406	2.515431	3.08314
ENSBTAG00000000469	269.552	262.678	240.367	184.177	239.795	205.228
ENSBTAG00000000470	0	0	0.119484	0.0566906	0.237456	0.208209
ENSBTAG00000000472	2.92568	3.11836	3.42771	2.74006	2.93727	4.50897
ENSBTAG00000000473	2.00748	1.2097373	1.2602846	1.62719	1.8117881	1.36889
ENSBTAG00000000475	19.90475	20.54243	17.92643	12.067363	18.50916	19.71126
ENSBTAG00000000476	2.5354503	0.963474	1.9546622	1.4347167	1.6650277	2.25866
ENSBTAG00000000477	1.12693	0.799599	0.532211	0.749585	1.01619	0.591076
