sample_ERR2928440	sample_ERR2928435	sample_ERR2928431	sample_ERR2928429	sample_ERR2928424	sample_ERR2928423	sample_ERR2928419	sample_ERR2928417
ENSFDAG00000000290	76.7957	52.7878	60.781	39.6951	44.4482	38.197	43.8707	44.7834
ENSFDAG00000000293	0	0	0	0	0	0	0	0
ENSFDAG00000000294	111.087	102.974	119.844	123.962	116.713	117.966	125.519	119.628
ENSFDAG00000000295	25.321	21.3242	23.5849	23.3576	25.2664	27.0175	23.6205	23.5155
ENSFDAG00000000296	45.8233	52.4154	51.8102	65.1848	78.7153	59.9629	58.1515	60.5753
ENSFDAG00000000297	13.439024	5.69682	10.52151	7.6903	8.874638292	8.243083	12.4575610172712	7.578094
ENSFDAG00000000298	2.75176	35.8823	25.2763	31.9159	44.1291	53.0909	24.6484	27.7233
ENSFDAG00000000302	0.0835921	0	0	0	0	0	0	0
ENSFDAG00000000306	6.83028	39.8733	5.21354	9.69767	14.8447	5.86003	14.8071	9.14368
ENSFDAG00000000307	17.7775	23.386	18.9501	25.9293	21.2183	18.9428	19.7103	26.0213
ENSFDAG00000000309	51.708	102.8383	86.3667	90.651	82.8709	98.14516	82.6706	95.0992
ENSFDAG00000000310	0.887028	0.719354	0.534925	0.393113	0.187105	0.660276	0.439378	0.301645
ENSFDAG00000000311	50.5179	43.2097	77.361	56.0149	79.1863	75.404	63.2498	49.7735
ENSFDAG00000000315	0	0	0	0	0	0	0	0
ENSFDAG00000000316	80.6171	79.7399	88.3511	97.6915	82.1377	89.4923	89.8076	86.3846
ENSFDAG00000000317	0	0.248208	0.572834	0	0.2028	0.204412	0.43957	0.784546
ENSFDAG00000000324	0.314243	0.3667	0.0968718	0.133842	0	0.127721	0.275237	0.491413
ENSFDAG00000000325	164.1168	172.5171	152.4763	225.8183	203.4879	188.4765	181.8924	265.908
ENSFDAG00000000330	34.1119	53.3261	46.9542	38.0774	36.2465	36.2114	67.4405	46.3272
ENSFDAG00000000331	1.10584	2.82196	1.80269	2.28832000312663	1.63493	2.018	1.65878	1.84172
ENSFDAG00000000334	21.8154	28.4734	20.9803	29.1949	28.0635	28.5613	23.8193	30.8306
ENSFDAG00000000335	0	0	0	0	0	0	0	0
ENSFDAG00000000337	54.241922	57.92585	61.1062	55.60582	54.276792	59.58021	71.86755083	58.99836
ENSFDAG00000000338	58.1628	49.5876	60.5791	47.0128	61.8768	60.7579	50.4801	50.9372
ENSFDAG00000000340	0.479289	0.558696	0.613739	0.986614	0.581393	0.856485	1.38942	0.576708
