sample_SRR8750789	sample_SRR8750790	sample_SRR8750791	sample_SRR8750792
ENSG00000011304	19.0183104	21.1715826	63.2541478	33.87884335
ENSG00000011332	23.1014030009531	30.7074550152619	11.1699835	14.0525089
ENSG00000011347	22.1112538	17.823424	2.110829	12.7801153
ENSG00000011376	9.2076251	6.19502	12.5380054046414	8.9762595
ENSG00000011405	6.586183	8.507654	21.517879	8.8889459
ENSG00000011422	8.37615	6.8414724	36.568395	21.991279
ENSG00000011426	75.502225	12.507292	45.963473	92.213319
ENSG00000011451	12.34151	11.325324	21.6655403	13.0177044
ENSG00000011454	21.8548584	20.4827139	34.747233	22.99504
ENSG00000011465	29.0975422	56.5192611	171.612883	198.639251
ENSG00000011478	11.945079123712	12.911663	11.4652539	10.084511
ENSG00000011485	51.716493	49.562314	56.6500116	45.900113149725
ENSG00000011523	8.0279446	8.104574	9.76986562	7.2999088
ENSG00000011566	6.2407688	10.49900202199	13.939143	8.6545908
ENSG00000011590	0.2213953	0.519268	0.64113	0.753086
ENSG00000011600	104.72301	47.244654	304.09116	119.12936
ENSG00000011638	5.8124256	4.971293	10.528416	5.902013
ENSG00000011677	8.358165	16.296718	5.616838	3.23826
ENSG00000012048	6.446952	5.1313617	11.5222385	15.7066932
ENSG00000012061	58.739596	46.860362	81.053136	56.314605
ENSG00000012124	42.9269523	6.14363677	25.958155	32.9851188
ENSG00000012171	172.334689747	26.5165740108467	112.919794	281.845182
ENSG00000012174	3.830703	4.950187	4.966927	4.929709
ENSG00000012211	1.7371824	1.717439	6.078243	3.8427075
ENSG00000012223	0.671726	0.101647	12.57871	31.146369
ENSG00000012232	16.7761645	15.0197292	17.870109	19.011092
ENSG00000012504	0.15825061	0.190451	0.6335671	1.086053
ENSG00000012660	33.514181	25.5795473	67.746522	56.220092
ENSG00000012779	2.249891924	1.403332172	15.4891041	8.689777
ENSG00000012817	13.988038	1.26195591	2.2897103	15.999253
ENSG00000012822	53.1328441	44.081381	78.1963	76.318334
ENSG00000012963	10.426541	7.5361002	14.463645	10.578384
ENSG00000012983	18.20888	13.949011	30.055051	27.618322
ENSG00000013016	22.2931	14.5639	10.0276	20.1345
ENSG00000013275	37.134641	27.159297	27.638236	29.443511
ENSG00000013288	14.80794	13.3770067	17.335934	11.701995
ENSG00000013293	9.75304	14.55352	5.44871	11.57373
ENSG00000013297	153.951733	22.081416	78.736701	240.105251
ENSG00000013306	92.158618	64.272709	95.398156	97.852523
ENSG00000013364	33.0860765	15.273467	50.917287	47.102034
ENSG00000013374	30.4833079	30.165547	39.597538	37.246883
ENSG00000013375	11.0959999	16.480755	14.6927857	13.2661731
ENSG00000013392	5.93845	7.89349	5.34178	3.70677
ENSG00000013441	116.933932	121.064154	213.030367	102.624224
ENSG00000013503	3.0945188	4.80242	5.050068	4.57038
ENSG00000013523	11.499897	11.358539	17.326976	15.580004
ENSG00000013561	32.8371011139354	29.228594	31.001092	30.76322909
ENSG00000013563	10.4438601	11.678975	12.945408	11.2928903
ENSG00000013573	5.8136201	6.11567660356895	22.904567192995	9.45316
ENSG00000013583	49.384599	30.669632	75.18779	41.971607
ENSG00000013588	0.9688845	2.471211	5.3150514	7.391685
ENSG00000013619	4.465243158	10.9633367	6.617764817469	3.58786245
ENSG00000013725	8.7752766	9.6569181	5.8392628	11.9711698
ENSG00000013810	7.1251722	5.115445	10.024662	8.3275381
ENSG00000014123	10.40656	12.22698	17.67553	13.7737
ENSG00000014138	7.125386	3.932108	5.500896	9.4094408
ENSG00000014164	8.103969	7.318322	6.14823	7.43545
ENSG00000014216	53.3023304	39.787388	58.558097	47.464629
ENSG00000014257	0.5042769	0.5628971	2.7322853	1.976419
ENSG00000014641	422.69632317582	313.234908	148.9231609	246.3811198
ENSG00000014824	22.0775703	26.846453	27.2157	22.812724
ENSG00000014914	3.5679414	5.0362025	34.70931	10.527218
ENSG00000014919	14.53326	11.5702	14.07734	13.80664
ENSG00000015133	2.159789	4.9353896	10.52034	5.2858706
ENSG00000015153	70.19606	50.350166	31.5733680002078	43.544085
ENSG00000015171	33.5014097258963	32.0886884	63.289788772	39.9143758
ENSG00000015285	10.76997	6.604515	31.920315	18.551901
ENSG00000015413	0.2495382	2.2761286	0.5485234	0.8881551
ENSG00000015475	28.981882	18.309	31.824201	22.3641389
ENSG00000015479	135.8463246	154.199906	137.715207	111.676788016508
ENSG00000015520	0.18287648	0.0494741	0.7473312	0.416531
ENSG00000015532	11.834402	10.030339	15.94638	11.573656
ENSG00000015568	11.9959958	20.942244673	26.0909593	13.9009721
ENSG00000015592	307.849372	129.82756	47.5291133	394.4244442
ENSG00000015676	58.398224	50.3339884	45.015701	47.876965
ENSG00000016082	2.67872	5.7265097	2.2946386	1.620111
ENSG00000016391	6.27999	4.42742	13.34176	6.89374
ENSG00000016402	2.977204	2.44869	9.7832589	4.576805
ENSG00000016490	0.00758558	0.0370352	0.0246853	0.059529
ENSG00000016602	5.669239	1.0267	2.06979	7.14147
ENSG00000016864	36.225779	33.0073660042344	56.413284	34.402132
ENSG00000017260	36.055117854673	40.5943741916	63.245227	33.5012850027735
ENSG00000017427	3.4033792	1.219054	3.087535	3.2213217
ENSG00000017483	26.993428	16.0439756	10.934706	21.362547
ENSG00000017797	63.900234	39.145559	90.90822	48.727256
ENSG00000018189	104.04808452	87.657862	102.681848	76.581381
ENSG00000018236	58.1095398	42.150668	28.883634	71.726059
ENSG00000018280	6.8228845	9.5842274443	63.447915	44.254564
ENSG00000018408	5.6519482	6.3393613	47.559657	21.28755
ENSG00000018510	6.497536075732	6.1418785	13.5719589	10.3169384
ENSG00000018607	2.36205	2.1309509	3.45841	3.58417
ENSG00000018610	16.509918	16.187745	14.034298	13.682843
ENSG00000018625	198.2521468	123.3991042	494.456068	198.025893
ENSG00000018699	3.2544832	2.391437	4.776663	6.184226
ENSG00000018869	6.119035	6.680507	11.191908	6.182795
ENSG00000019102	0.4986325	0.813239	1.663345	2.656403
ENSG00000019144	119.6619972	49.285436	76.4095745	141.878341
ENSG00000019169	5.90055	1.575739	6.544071	7.944124
ENSG00000019186	0.2959699	1.915163	0.8335347	1.79142
ENSG00000019485	4.773093	4.751064	7.04023633	5.44744816
ENSG00000019505	35.7494	31.4741	7.29794	18.8897419
ENSG00000019549	0.438799	0.675907	3.284038	1.414494
ENSG00000019582	818.985872	221.668924203	1806.946004	901.4142972
ENSG00000019991	0.5219371	3.6195057	4.517851	1.1141466
ENSG00000019995	6.30126	5.455558	15.53986	8.20489
ENSG00000020129	195.279919	160.061786	60.843319	122.083043
ENSG00000020181	1.82154	1.353377863	4.904088253	5.444954
ENSG00000020219	0	0.0349364	0.140123	0.279355
ENSG00000020256	6.685709	7.031928	9.601118	7.1145992
ENSG00000020426	18.0400567	20.305096	27.404576	18.615624
ENSG00000020577	8.7158199	11.2693239	68.907173	11.538379
ENSG00000020633	0.428346	1.304570656	4.79453	4.582511
ENSG00000020922	2.9864748	3.305788	10.2073683	4.573408
ENSG00000021300	1140.723363	399.737084358	1281.401849	1233.014525
ENSG00000021355	11.436538	10.392626	20.554325	24.86016
ENSG00000021461	0.4983389	1.152786	1.0041553	1.3697706
ENSG00000021488	0.837811	1.993	2.607670642	2.380413
ENSG00000021574	10.145912	11.56086697	12.91686	12.631494034444
ENSG00000021645	11.147506	42.9526004	10.286471115899	10.158841
ENSG00000021762	16.2294437	14.9297646795	10.979698	19.3394579054817
ENSG00000021776	6.5256477	6.2004232	9.671637	6.3149733
ENSG00000021826	3.7479354242626	3.538753619805	6.15125556	8.09359131
ENSG00000021852	0.0115056	0.014042	0.0562516	0.126494
ENSG00000022267	85.14234904	148.80083	214.904105548921	132.7018188
ENSG00000022277	123.23743	57.803564	137.43598	120.638249
ENSG00000022355	43.7420442	11.936542	2.16450400186571	34.479256
ENSG00000022556	2.01838505821285	3.14620246002284	3.7472227	4.17767900062793
ENSG00000022567	3.72493	2.6817638	3.8329169	2.9611482
ENSG00000022840	111.280796	85.812196	93.130018	105.529351
ENSG00000022976	6.602657	7.2194304	10.490761	8.729664
ENSG00000023041	14.0628731	12.12520503	20.9952613	17.6365082622685
ENSG00000023171	14.5492211	13.6589937013716	13.7379395	16.2714131
ENSG00000023191	86.2383229	33.2474914	62.0056816	80.461846
ENSG00000023228	11.2999975	10.337523	11.9611915003502	10.90204707532
ENSG00000023287	25.8074152	21.5624333	20.595348	17.5304549
ENSG00000023318	7.7357	7.92744	13.6862	7.36837
ENSG00000023330	27.82014	17.714975	19.789155	20.54685
ENSG00000023445	0.994481	2.663871	4.737049	4.8034855719
ENSG00000023516	13.3817	17.3365	19.9153	12.0825
ENSG00000023572	31.080318	19.572046	20.50195	12.771424
ENSG00000023608	4.70956	4.90482	8.11263	5.41493
ENSG00000023697	11.851571	10.062479	30.522326	19.358033
ENSG00000023734	126.0864792	124.4389	108.095934	81.261442
ENSG00000023839	0.3228358	0.9935811	3.336966	3.137591
ENSG00000023892	7.52068	4.89544	13.6559	10.32493
ENSG00000023902	43.4708	30.482075	82.239331	41.200399
