sample_ERR1709728	sample_ERR1709727	sample_ERR1709726	sample_ERR1709725
ENSMUSG00000002129	23.17404	21.983462	24.389775	27.045015
ENSMUSG00000002147	5.014241	4.877504	4.93453	3.843717
ENSMUSG00000002190	7.28772	7.22002	12.48619	6.78923
ENSMUSG00000002204	5.175039	6.201777	4.99637	4.921663
ENSMUSG00000002205	11.06462984	11.186958	12.985569	10.87088
ENSMUSG00000002210	19.18597	17.365259	18.497553	19.305471
ENSMUSG00000002221	33.086156	38.330332	30.89473	33.59744
ENSMUSG00000002222	76.22857	70.70574	72.2876400020248	73.39328
ENSMUSG00000002227	8.5573400190294	7.827187	5.517482	7.7703650128867
ENSMUSG00000002228	0.649193	0.753373	0.88501	0.691712
ENSMUSG00000002233	20.41498	18.98693	23.8943099	20.206229
ENSMUSG00000002240	0.12391	0	0	0
ENSMUSG00000002249	3.465288	3.043403	2.9135673	3.4592761
ENSMUSG00000002250	5.03828433946	5.51665639788	5.077688	6.080497
ENSMUSG00000002257	4.484558	2.47117302	2.5752919	4.451754
ENSMUSG00000002265	473.4775	464.6989180811	377.128072	482.7522019
ENSMUSG00000002266	34.18538	39.71229	27.8182	38.84993
ENSMUSG00000002274	91.02321	99.114	95.99709	77.0487538
ENSMUSG00000002279	15.447174	16.698167	19.690182	17.727831
ENSMUSG00000002280	26.638778	24.362097	26.067061	22.47982157369
ENSMUSG00000002289	3.58974	3.561589	2.150267	3.585805
ENSMUSG00000002297	5.007697	4.241545	4.50439	3.55932
ENSMUSG00000002307	17.67561	14.835765	14.519682	14.987823
ENSMUSG00000002308	23.69517	26.73952	24.5354	23.93349
ENSMUSG00000002319	87.183311	91.489922	77.9692371464	102.261390000968
ENSMUSG00000002320	28.976973082	32.932605	31.452906	31.3742370104258
ENSMUSG00000002324	16.07174	17.00322	11.618705	16.2351
ENSMUSG00000002325	14.006849	14.857006	10.832542	11.98926
ENSMUSG00000002326	20.073986	22.5979007	16.8500589	16.820314
ENSMUSG00000002329	45.65411	47.58644	38.952887	47.51093
ENSMUSG00000002332	62.818261	64.87612	63.023801	63.66638
ENSMUSG00000002341	22.2956	22.8973	21.9372	27.5471
ENSMUSG00000002342	32.12237611	35.244467	32.033221	31.14153
ENSMUSG00000002343	39.64192	34.87269	27.65277	30.54894
ENSMUSG00000002345	51.88838	55.56266	56.53757	52.70679
ENSMUSG00000002346	8.326355	8.3640576	10.30758	9.291885
ENSMUSG00000002365	14.16286	12.070042	13.9286	11.8462
ENSMUSG00000002372	65.35071	67.89671	57.673158	65.498050126687
ENSMUSG00000002379	243.46385	266.0516	240.0513	207.79658
ENSMUSG00000002384	2.558876	1.466619	1.5229421	2.13577
ENSMUSG00000002393	20.3730481	23.514376	20.6771442176598	17.5386
ENSMUSG00000002395	131.05418	149.733982	127.205034011605	124.36293
ENSMUSG00000002396	13.86501	13.20992	12.94656	12.96402
ENSMUSG00000002409	9.981316	9.080090359591	9.515606	12.68604
