sample_SRR13255798	sample_SRR13255824	sample_SRR13255827	sample_SRR13255871	sample_SRR13255875	sample_SRR13255897	sample_SRR13255903	sample_SRR13255906
ENSMOCG00000000239	15.9804	11.6721	9.66431	11.1618	14.1814	18.8131	14.5089	12.0264
ENSMOCG00000000240	1.88053	1.02781	0.6619	1.45309	1.27924	1.08233	0.933214	0.639213
ENSMOCG00000000241	0.287835	0	0.283671	0	0	0	0.285678	0
ENSMOCG00000000242	28.70165	34.53426	34.14916	30.76845	30.41816	35.01747	28.5363	27.13906
ENSMOCG00000000243	22.6588	24.7686	17.7736	18.6455	22.0197	29.8085	20.1941	24.9398
ENSMOCG00000000244	27.0496	28.7788	33.1046	30.6221	29.6542	26.274	32.5272	31.7213
ENSMOCG00000000245	26.872341	42.4527	42.89764	53.93295	57.128613	29.496894	40.8346	43.62941
ENSMOCG00000000246	6.82385	6.86077	7.58532	8.62267	8.53905	6.25652	7.79647	6.29323
ENSMOCG00000000247	0	0	0.0479307	0	0	0	0	0.0385732
ENSMOCG00000000248	42.0616	35.4111	35.9806	34.9852	35.5026	38.4067	34.6075	38.4624
ENSMOCG00000000249	0	0	0	0	0.296412	0	0.309883	0.239144
ENSMOCG00000000250	209.785	140.58	119.818	154.113	224.861	203.04	216.857	205.466
ENSMOCG00000000251	83.8023	81.2266	74.2645	77.2512	85.7878	78.8396	93.0141	89.893
ENSMOCG00000000252	6.12058	11.8102	18.6206	13.0853	6.08241	12.5591	16.1111	8.44243
ENSMOCG00000000253	59.2342	44.1339	46.498	47.2799	48.3346	61.4776	55.9855	48.2648
ENSMOCG00000000254	48.5454	37.0291000158978	53.3846	49.4931	47.7349	59.6292	57.4491	51.6194
ENSMOCG00000000255	0	0	0	0	0	0	0	0
ENSMOCG00000000256	0.491775	1.49851	2.13833	1.31732	0.893304	1.94292	0.710316	0.780396
ENSMOCG00000000257	148.2906	114.8104	113.3588	109.827	120.1291	135.3375	131.7176	113.0314
ENSMOCG00000000258	5.06948	6.21585	6.92236	5.43604	4.24627	7.24159	6.57729	6.27333
ENSMOCG00000000259	0.705903	4.04027	3.445476	2.144173	1.351221	0.85854	1.17703	1.476464
ENSMOCG00000000260	19.19802	21.44782	20.97589	17.23108	15.83985	20.92471	20.61038	16.8279
ENSMOCG00000000261	13.52737	13.20983	16.396137	16.84384	14.42168	10.980814	17.676861	13.689753
ENSMOCG00000000262	732.428	551.396	555.42296	669.5477	635.4439	627.6416	786.4974	675.5555
ENSMOCG00000000263	0.0698214650033	0.2298477	0.347201	0.254503	0.153071	0.0925071	0.256848	0.1107550492937
ENSMOCG00000000264	16.0036	14.7877	12.8384	13.3155	12.703	12.4811	14.3711	16.772
ENSMOCG00000000265	40.3406	36.9207	38.4117	35.12	32.5081	43.3031	39.3734	35.9089
