sample_SRR5516115	sample_SRR5516118	sample_SRR5516121	sample_SRR5516123	sample_SRR5516126	sample_SRR5516128	sample_SRR5516131	sample_SRR5516132
ENSCPOG00000000399	26.71888	24.48358	28.21275	30.90165	25.61921	31.44294	38.32639	37.4012
ENSCPOG00000000400	0.854373	0.676804	0.864053	0.798235	0.830692	0.906777	1.03586	0.561811
ENSCPOG00000000401	47.7427	49.9592	61.4008	35.70250103534	46.6734000050514	61.7538	56.142	71.4976
ENSCPOG00000000402	28.2821	35.3196	23.8425	27.6426	27.3324	26.8485	28.6427	30.6771
ENSCPOG00000000403	51.5335	51.9873	51.2921	50.0731	52.5318	57.6768	50.9698	57
ENSCPOG00000000404	56.0041	53.7021	49.8615	55.2197	45.1972	48.4826	53.4322	63.0067
ENSCPOG00000000406	18.6543	19.5897	17.0733	18.2591	18.4176	19.0881	21.0639	21.5293
ENSCPOG00000000408	14.4193	17.6619	19.7705	22.8164	19.044	19.783	16.4441	19.9656
ENSCPOG00000000409	44.0645	43.7289	42.8275	39.9025	46.7038	51.5795	57.9612	55.0399
ENSCPOG00000000410	90.3468	90.62893	76.1152	86.10888	84.42037	95.36875	91.304999	95.255933
ENSCPOG00000000411	20.84367	29.68944	23.01172	27.22622	25.81585	25.34639	26.61266	28.54102
ENSCPOG00000000412	18.1235	18.9074	18.2495	20.6619	19.0896	18.6314	21.2836	22.092
ENSCPOG00000000413	25.5227	29.5318	32.3547	45.0344	29.3083	39.6479	46.5847	51.4241
ENSCPOG00000000414	67.7196	61.8516	66.9292	97.742	77.6517	90.968	88.5899	113.927
ENSCPOG00000000415	429.043	468.384	575.646	546.908	595.034	570.829	593.392	496.644
ENSCPOG00000000417	24.6469	24.0826	19.319	20.6333	23.5561	24.6797	24.7008	23.8533
ENSCPOG00000000418	29.1232	25.9383	25.2243	27.9169	25.9361	30.8241	35.3364	34.2244
ENSCPOG00000000420	0	0	0	0	0	0.18795	0	0
ENSCPOG00000000422	0	0	0	0.388409	0	0	0	0
ENSCPOG00000000423	25.3928	23.3363	20.2429	15.1706	21.0626	23.0954	25.2002	22.2217
ENSCPOG00000000424	16.83418	12.58985	10.462052	10.656117	10.22234	17.705061	14.413	17.93189
ENSCPOG00000000425	61.4885	56.3119	46.7682	46.4349	47.3937	54.9725	57.2379	59.7567
