sample_SRR5279360	sample_SRR5279359	sample_SRR5279358	sample_SRR5279356	sample_SRR5279349	sample_SRR5279348	sample_SRR5279345	sample_SRR5279344
ENSPEMG00000000328	110.208345	92.6366	97.4842	114.296782	112.65	113.414	112.80709	66.4764
ENSPEMG00000000329	15.4787	11.6949	13.9159	19.4681	17.2719	19.1157	18.1287	13.6068
ENSPEMG00000000331	1.28352	0	0.179442	2.4631	0	0	0.565088	5.54431
ENSPEMG00000000332	5.7737	4.67767	5.27714	5.87078	0	14.4404	3.91754	9.98099
ENSPEMG00000000333	0	0	0	0	0	0	0	0
ENSPEMG00000000334	0.669074	4.81461	0	0	14.5417	0	1.19969	0
ENSPEMG00000000335	85.8176	116.87	101.30811	87.5081	95.615	85.0313	68.5495	58.9893
ENSPEMG00000000336	0	0	0	0.716822	0	0	0	0
ENSPEMG00000000337	24.0238	25.868	15.0006	19.2916	7.67735	32.415	7.4635	12.6768
ENSPEMG00000000339	15.3144	13.7031	22.5033	22.8481	27.4602	23.6328	16.5533	11.0902
ENSPEMG00000000341	35.0415	43.25303	32.3738	36.6432	20.6856	35.15779	40.2026	29.168
ENSPEMG00000000342	0.0936508	0	0	0.624304	0	0	0.165643	0
ENSPEMG00000000344	29.25517	41.8007	39.8657	48.914584	28.4764	25.49514	27.211000103346	24.6118
ENSPEMG00000000345	1621.85	1472.59	1884.47	1511.09	985.072	917.601	1080.24	1288.91
ENSPEMG00000000346	167.004	259.324	224.772	208.793	395.242	450.505	426.772	381.006
ENSPEMG00000000347	7.47296	7.53874	4.87919	3.2437	6.93962	2.52154	6.68816	5.36487
ENSPEMG00000000348	36.3164	35.6495	35.1889	37.4051	22.0213	60.7569	57.0433	52.4752
ENSPEMG00000000349	1.50814	1.9436	0	1.65401	0	3.39377	1.38834	1.07932
ENSPEMG00000000350	28.5337	15.925	22.1093	18.0054	30.0133	39.9852	36.2445	23.0399
ENSPEMG00000000351	0.101892	0	0.453482	0.23454	0	0	0.120348	1.15881
ENSPEMG00000000352	47.60508	37.51723	46.63585	44.94817	71.27342787	40.1167	52.0571	34.65980420352
ENSPEMG00000000353	139.913	123.704	144.156	139.445	165.2	142.456	128.041	123.313
ENSPEMG00000000354	52.0029	50.1007	45.7111	49.14127	60.627200450235	80.848	51.29718	44.5198
ENSPEMG00000000355	2.46983	3.53407	0.81816	6.010233	1.32858	0	0	2.00158
ENSPEMG00000000356	8.91058	9.26678	8.21247	10.342955	16.3652	4.80498	5.866398	3.30249
ENSPEMG00000000359	4.01386	5.21737	4.9377	4.86002	3.26275	8.08176	2.02815	2.98845
ENSPEMG00000000360	0.427098	0.592801	1.07746	1.80137	12.6047	0	0	0.161673
ENSPEMG00000000361	33.4423	36.9355	31.9346	29.9204	8.40667	51.5071	48.683	55.5007
ENSPEMG00000000362	0	0	0	0	0	0	0	0
