sample_SRR3879744	sample_SRR3879745	sample_SRR3879746
ENSCHIG00000000500	0	0	0
ENSCHIG00000000501	11.696	11.1424	11.9342
ENSCHIG00000000502	0.2112850991042	0.1035798	0.058787071221
ENSCHIG00000000503	0.0336704	0.0176324	0.0464568
ENSCHIG00000000504	4.4825	5.394428	5.654703
ENSCHIG00000000505	0.185688	0.0875529	0.226695
ENSCHIG00000000506	74.7251	65.4228	60.2011
ENSCHIG00000000507	1.02043	1.92895	2.82957
ENSCHIG00000000508	0.1347507	0.3046765	1.12415363
ENSCHIG00000000509	36.3196	38.044	38.195
ENSCHIG00000000510	281.826753	291.14264	268.07978
ENSCHIG00000000511	42.9002	33.6654	32.4479
ENSCHIG00000000512	4.97969	7.32596	5.44362
ENSCHIG00000000513	44.6818	41.5766	41.9902
ENSCHIG00000000514	25.2358	34.197	29.2902
ENSCHIG00000000515	7.59976	8.48982	12.3488
ENSCHIG00000000516	11.1111	14.4	13.2897
ENSCHIG00000000517	0	0	0.0679645
ENSCHIG00000000518	0.0246736	0	0.0338791
ENSCHIG00000000519	3.52485	6.4697	7.45942
ENSCHIG00000000520	0.0213268	0.13164	0.0690758
ENSCHIG00000000521	0	0	0
ENSCHIG00000000522	6.74924	11.3013	10.3691
ENSCHIG00000000525	100.29446	90.95335	93.74263
ENSCHIG00000000527	2.529742	2.2505187	2.788625
ENSCHIG00000000528	0	0.0253665	0
ENSCHIG00000000529	110.1324	101.0141	78.1921
ENSCHIG00000000530	7.602134	7.84133	8.074475
ENSCHIG00000000531	53.866894485	62.34337374	59.6678
ENSCHIG00000000532	3.71223	5.69867	5.30808
ENSCHIG00000000533	0.073946	0	0
ENSCHIG00000000534	29.1594	28.7375	22.809
ENSCHIG00000000536	34.8439	39.408	43.3981
ENSCHIG00000000538	32.2984	25.0653	30.2194
ENSCHIG00000000542	0.450772	0.777678	0
ENSCHIG00000000545	160.134	161.288	184.797
ENSCHIG00000000547	0.0457344	0	0.237682
ENSCHIG00000000549	232.787	148.561	170.815
ENSCHIG00000000561	9.16489	14.1464	12.6145
ENSCHIG00000000568	0	0.254872	0.686849
ENSCHIG00000000571	37.2927	47.9015	44.1974
ENSCHIG00000000573	2.87466	1.75111	9.59826
ENSCHIG00000000575	129.192	86.4679	122.228
ENSCHIG00000000576	0.35386	0.531606	0.745517
ENSCHIG00000000578	22.3445	24.3515	24.6189
ENSCHIG00000000579	22.224839	24.028893	22.326087
ENSCHIG00000000581	0.159972	0.032748	0.133052
ENSCHIG00000000587	0	0	0.237075
ENSCHIG00000000591	12.95037	16.1817	16.92391
ENSCHIG00000000593	5.26188	7.97177	6.53642
ENSCHIG00000000599	8.26904	7.01408	6.58143
ENSCHIG00000000602	7.22145	6.92487	7.12575
ENSCHIG00000000607	0.371823	0.452203	0.429985
ENSCHIG00000000610	51.0744	42.7823	44.1181
ENSCHIG00000000612	192.658	148.148	146.193
ENSCHIG00000000615	15.0837	16.846	16.4329
ENSCHIG00000000618	2.19039	0.614572	3.20859
ENSCHIG00000000620	23.90255	21.19871	27.67414
ENSCHIG00000000623	0.965654	1.19728	1.70996
ENSCHIG00000000624	15.11656	13.929276	14.957369
ENSCHIG00000000627	2.27021	2.10726	3.32055
ENSCHIG00000000629	3.70887	3.17364	4.42388
ENSCHIG00000000646	0.102874	0.330538	0.137433
ENSCHIG00000000649	18.003	20.1169	20.0858
ENSCHIG00000000654	0	0	0.285063
